id,name,category,description,intensity,duration_min,approved,base_weight,cooldown_required,anticipation_score,adrenaline_score,comfort_score,novelty_score,emotional_closeness_score,tags,hard_limit_flag
checkin_opening,Opening Check-In,checkin,Confirm consent boundaries energy and timing before the session starts,1,5,true,1.4,false,3,1,10,2,8,"consent;comfort;planning",false
breathing_reset,Breathing Reset,cooldown,A short paced breathing reset to lower intensity and restore steadiness,1,5,true,1.2,false,2,1,10,2,6,"cooldown;grounding;comfort",false
creative_prompt,Creative Prompt,creative,Choose a light creative prompt from a pre-approved list and respond together,2,10,true,1.1,false,5,2,8,7,7,"novelty;collaboration",false
movement_break,Movement Break,movement,A short movement break calibrated to current energy and comfort,3,8,true,1.0,false,4,4,7,5,4,"movement;energy",false
challenge_card,Challenge Card,challenge,Draw a pre-approved challenge card with a clear opt-out and reset option,4,12,true,0.9,true,8,7,6,8,6,"challenge;novelty;cooldown_after",false
story_exchange,Story Exchange,connection,Share a brief memory or value-based story with active listening,2,12,true,1.0,false,4,1,9,4,10,"emotional;comfort",false
skill_practice,Skill Practice,learning,Practice a harmless skill or micro-task with supportive feedback,3,15,true,0.95,false,6,3,7,6,5,"learning;focus",false
anticipation_timer,Anticipation Timer,anticipation,Use a short timer before revealing the next approved activity,2,6,true,0.85,false,9,3,7,7,5,"anticipation;novelty",false
high_energy_game,High Energy Game,game,Play a fast-paced but bounded game with a stated stop signal,4,10,true,0.8,true,7,8,6,6,4,"game;energy;cooldown_after",false
comfort_mapping,Comfort Mapping,reflection,Map what felt comfortable neutral or too intense for future planning,1,8,true,1.15,false,2,1,10,3,9,"comfort;reflection;feedback",false
hydration_cooldown,Hydration Cooldown,cooldown,Pause for water stillness and a quick comfort check before continuing,1,5,true,1.25,false,1,1,10,1,5,"cooldown;aftercare;comfort",false
quiet_aftercare,Quiet Aftercare,aftercare,Close with low-intensity care reflection and any requested decompression,1,10,true,1.35,false,2,1,10,2,10,"aftercare;comfort;closing",false
gratitude_note,Gratitude Note,aftercare,Write or say one appreciative note and record any follow-up needs,1,7,true,0.9,false,2,1,10,3,10,"aftercare;emotional;closing",false
novelty_game,Novelty Game,game,Use a random but approved prompt game with comfort check-ins,3,10,true,1.05,false,6,4,7,9,5,"novelty;game",false
external_pressure_task,External Pressure Task,challenge,Example excluded task that is not available for generation,3,10,false,1.0,false,8,7,2,7,2,"external_pressure",false
boundary_violation_example,Boundary Violation Example,blocked,Example hard-limit placeholder that must never appear,5,20,true,1.0,true,10,10,1,1,1,"hard_limit",true
